"Jugador","P.Jug.","P.Compl.","P.Tit.","P.Sust.","Min","Tarj.","Expul.","Goles","Penalti","Equipo"
"ALVARO G.","29","18","24","5","2157","6","1","6","0","alcorcon"
"ALVARO PEÑA","40","14","34","6","2963","6","0","6","1","alcorcon"
"ASDRUBAL","11","1","5","6","429","5","0","1","0","alcorcon"
"BELLVIS","28","25","25","3","2304","6","0","1","0","alcorcon"
"BORJA D.","22","3","10","12","925","3","0","0","0","alcorcon"
"BORJA LAZARO","7","1","2","5","261","2","0","0","0","alcorcon"
"BRUNO GAMA","15","8","12","3","1115","1","0","1","0","alcorcon"
"BURGOS. E.","31","26","28","3","2565","8","0","1","0","alcorcon"
"CASTO E.","39","37","39","0","3427","6","1","0","0","alcorcon"
"CESAR S.","17","15","17","0","1449","2","0","0","0","alcorcon"
"DANI JIMENEZ","4","3","3","1","346","1","0","0","0","alcorcon"
"DAVID F.","38","35","38","0","3338","4","0","1","0","alcorcon"
"DAVID NAVARRO","8","6","8","0","646","2","0","0","0","alcorcon"
"DORCA","38","22","30","8","2765","9","2","7","0","alcorcon"
"DUMITRU","12","0","4","8","424","0","0","2","0","alcorcon"
"EDDY","1","0","0","1","23","1","0","0","0","alcorcon"
"ERRASTI","29","17","28","1","2249","12","1","0","0","alcorcon"
"FELIPE A.","1","0","0","1","10","0","0","0","0","alcorcon"
"HUGO ALVAREZ","19","11","16","3","1420","9","1","0","0","alcorcon"
"JONATHAN P.","33","8","21","12","1914","5","0","5","0","alcorcon"
"KADIR","14","0","6","8","482","0","1","0","0","alcorcon"
"LAURE","42","42","42","0","3780","4","0","1","0","alcorcon"
"MATEO GARCIA","21","7","15","6","1371","2","0","2","0","alcorcon"
"NONO","23","4","13","10","1208","2","0","1","0","alcorcon"
"PABLO MTINEZ.","1","0","0","1","20","0","0","0","0","alcorcon"
"PABLO VAZQUEZ","5","3","3","2","286","0","0","0","0","alcorcon"
"SANGALLI","28","7","14","14","1410","6","0","1","0","alcorcon"
"TORIBIO","30","19","25","5","2199","11","0","1","0","alcorcon"
"ACUÑA. CJ.","16","0","1","15","435","2","0","1","0","albacete"
"ADRIAN GOMEZ","1","0","0","1","45","0","0","0","0","albacete"
"ALVARO GOMEZ","1","0","1","0","64","0","0","0","0","albacete"
"ARIDANE","26","4","13","13","1184","6","0","3","0","albacete"
"ARROYO. A.","36","32","34","2","3036","5","1","0","0","albacete"
"BITTOLO","27","18","25","2","2163","11","0","0","0","albacete"
"CARVAJAL. D.","2","2","2","0","180","1","0","0","0","albacete"
"CESAR DE LA H","33","14","15","18","1688","6","0","4","0","albacete"
"CHUS HERRERO","30","26","30","0","2549","10","0","0","0","albacete"
"DANI RGUEZ.","38","25","36","2","3144","14","0","6","0","albacete"
"DELGADO. C.","17","11","14","3","1291","5","0","0","0","albacete"
"ESPINDOLA. F.","12","0","6","6","515","1","0","0","0","albacete"
"ESTEBAN S.","29","27","29","0","2546","7","1","0","0","albacete"
"GAFFOOR","36","27","33","3","2909","9","0","1","0","albacete"
"GALVEZ. R.","20","14","17","3","1490","4","0","0","0","albacete"
